"id","x_name","x_studio_tag_ids","x_studio_periodos","x_studio_descripcin","x_studio_marca","x_studio_ean","x_studio_cdigo_referencia_proveedor","x_studio_proveedor","x_studio_trazabilidad_levantamiento","x_studio_pm_asociado","x_studio_origen","x_studio_eye","x_studio_raee","x_studio_pilas","x_studio_neumticos","x_studio_bateras","x_studio_aceites_y_lubricantes","x_studio_es_mdh","x_studio_stage_id"
"__export__.x_productos_621377_b6bf94f6","830553028TXD","TxD - SKUs","2023","662PAAZTA-002 PAN/GROS1/T 44","ALANIZ","","","FOYU CORPORATION (HK) LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621376_0f47a424","830553027TXD","TxD - SKUs","2023","662PAAZTA-002 PAN/GROS1/T 42","ALANIZ","","","FOYU CORPORATION (HK) LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621375_01e72cf9","830553026TXD","TxD - SKUs","2023","662PAAZTA-002 PAN/GROS1/T 40","ALANIZ","","","FOYU CORPORATION (HK) LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621374_ff7f9f5c","830531028TXD","TxD - SKUs","2023","604POAZTA-069 POL/GRCL2/S","ALANIZ","","","STITCH (BD) KNITWEAR","","","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_621373_f21587da","830515008TXD","TxD - SKUs","2023","604VEAZV22-019 VE/ROME9/S","ALANIZ","","","NINGBO QUICKWAY IMP Y EXP CO LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621372_90470b12","830475025TXD","TxD - SKUs","2023","604POAZV22-551 PO/BLNA3/L","ALANIZ","","","TBC HK INTERNATIONAL TRADER Y","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621371_58bc348a","830475003TXD","TxD - SKUs","2023","604POAZV22-551 PO/NEGRO/S","ALANIZ","","","TBC HK INTERNATIONAL TRADER Y","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621370_e15fc830","830473006TXD","TxD - SKUs","2023","604POAZV22-014 PO/NEGRO/XL","ALANIZ","","","NINGBO QUICKWAY IMP Y EXP CO LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621369_eb09cb9c","829592005TXD","TxD - SKUs","2023","647TBMLV22-703 TR/GRAB9/T/16A","MELT","","","SUNNER TEXTILE INDUSTRY CO LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621368_ec3474a8","829565002TXD","TxD - SKUs","2023","647TBAUV22-702 TR/AZAB9/T 10A","AUSSIE","","","SUNNER TEXTILE INDUSTRY CO LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621367_0a64dd90","829553005TXD","TxD - SKUs","2023","647PLMLV22-250 PO/MIS1/T/16A","MELT","","","ANHUI KNITEX CO.LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621366_b95db068","829544006TXD","TxD - SKUs","2023","647POMLV22-711 PO/BLNA1/T 10A","MELT","","","TEAM SOURCING COMPANY LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621365_6e4baf24","829513008TXD","TxD - SKUs","2023","603SWGFV21-079I/BGC10/S","GREENFIELD","","","YANTAI BOCHARM APPAREL CORP LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621364_e28763d9","829511004TXD","TxD - SKUs","2023","603SWGFI20-072 SW/NEGRO/M","GREENFIELD","","","YANTAI BOCHARM APPAREL CORP LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621363_9c0c9c99","829429007TXD","TxD - SKUs","2023","646POMNV22-030 PO/BLNA1/T 12A","MOON","","","TIANJIN LIGHT IMP   EXP","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621362_111e3b35","829428002TXD","TxD - SKUs","2023","646POMNV22-031 PO/NEGRO/T 10A","MOON","","","TIANJIN LIGHT IMP   EXP","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621361_c45e9b00","829424005TXD","TxD - SKUs","2023","646PBMLV22-138 PA/GRCL1/T/16A","MELT","","","TIANJIN LIGHT IMP   EXP","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621360_2f5cc06f","829423003TXD","TxD - SKUs","2023","646PBMLV22-136 PA/MIS1/T 12A","MELT","","","ANHUI KNITEX CO.LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
